UserID,letter,from_x,from_y,to_x,to_y,timeStamp
1657208318540,1,1,0,1,1,10:40:07
1657208318540,6,0,0,1,0,10:40:08
1657208318540,5,0,1,0,0,10:40:09
1657208318540,1,1,1,0,1,10:40:10
1657208318540,6,1,0,1,1,10:40:11
1657208318540,5,0,0,1,0,10:40:12
1657208318540,1,0,1,0,0,10:40:13
1657208318540,2,0,2,0,1,10:40:14
1657208318540,3,1,2,0,2,10:40:15
1657208318540,7,2,2,1,2,10:40:16
1657208318540,11,2,3,2,2,10:40:18
1657208318540,12,3,3,2,3,10:40:19
1657208506776,5,0,1,1,1,11:44:36
1657208506776,6,0,0,0,1,11:44:38
1657208506776,1,1,0,0,0,11:44:40
1657208506776,5,1,1,1,0,11:44:42
1657208506776,6,0,1,1,1,11:44:43
1657208506776,2,0,2,0,1,11:44:45
1657208506776,7,2,2,1,2,11:44:48
1657208506776,11,2,3,2,2,11:44:49
1657208506776,3,1,2,0,2,11:44:47
1657208506776,12,3,3,2,3,11:44:51
1657209804853,5,0,1,1,1,12:05:22
1657209804853,6,0,0,0,1,12:05:26
1657209804853,1,1,0,0,0,12:05:27
1657209804853,5,1,1,1,0,12:05:29
1657209804853,6,0,1,1,1,12:05:30
1657209804853,3,1,2,0,2,12:05:34
1657209804853,7,2,2,1,2,12:05:35
1657209804853,2,0,2,0,1,12:05:32
1657209804853,11,2,3,2,2,12:05:38
1657209804853,12,3,3,2,3,12:05:40
1657209818165,5,0,1,1,1,12:07:36
1657209818165,6,0,0,0,1,12:07:38
1657209818165,1,1,0,0,0,12:07:39
1657209818165,5,1,1,1,0,12:07:41
1657209818165,6,0,1,1,1,12:07:42
1657209818165,2,0,2,0,1,12:07:44
1657209818165,3,1,2,0,2,12:07:45
1657209818165,7,2,2,1,2,12:07:47
1657209818165,12,3,3,2,3,12:07:51
1657209818165,11,2,3,2,2,12:07:48
1657209980224,5,0,1,1,1,11:08:16
1657209980224,6,0,0,0,1,11:08:18
1657209980224,1,1,0,0,0,11:08:19
1657209980224,5,1,1,1,0,11:08:20
1657209980224,6,0,1,1,1,11:08:22
1657209980224,2,0,2,0,1,11:08:23
1657209980224,3,1,2,0,2,11:08:24
1657209980224,7,2,2,1,2,11:08:26
1657209980224,11,2,3,2,2,11:08:29
1657209980224,12,3,3,2,3,11:08:31
1657209998278,5,0,1,1,1,11:08:52
1657209998278,6,0,0,0,1,11:08:53
1657209998278,1,1,0,0,0,11:08:53
1657209998278,5,1,1,1,0,11:08:54
1657209998278,6,0,1,1,1,11:08:55
1657209998278,2,0,2,0,1,11:08:56
1657209998278,3,1,2,0,2,11:08:57
1657209998278,7,2,2,1,2,11:08:59
1657209998278,11,2,3,2,2,11:09:03
1657209998278,12,3,3,2,3,11:09:04
1657209996421,5,0,1,1,1,12:09:50
1657209996421,6,0,0,0,1,12:09:51
1657209996421,5,1,1,1,0,12:09:55
1657209996421,6,0,1,1,1,12:09:57
1657209996421,3,1,2,0,2,12:09:58
1657209996421,1,1,0,0,0,12:09:52
1657209996421,2,0,2,0,1,12:09:58
1657209996421,7,2,2,1,2,12:10:01
1657209996421,11,2,3,2,2,12:10:05
1657209996421,12,3,3,2,3,12:10:06
1657210099426,5,0,1,1,1,10:10:33
1657210099426,3,1,2,0,2,10:10:47
1657210099426,2,0,2,0,1,10:10:44
1657210099426,5,1,1,1,2,10:10:57
1657210099426,2,0,1,1,1,10:11:00
1657210099426,6,0,0,0,1,10:11:01
1657210099426,1,1,0,0,0,10:11:02
1657210099426,2,1,1,1,0,10:11:04
1657210099426,5,1,2,1,1,10:11:07
1657210099426,7,2,2,1,2,10:11:42
1657210099426,11,2,3,2,2,10:11:43
1657210099426,12,3,3,2,3,10:11:45
1657210099426,15,3,2,3,3,10:11:46
1657210099426,14,3,1,3,2,10:11:47
1657210099426,13,3,0,3,1,10:11:49
1657210099426,9,2,0,3,0,10:11:54
1657210099426,10,2,1,2,0,10:11:56
1657210099426,11,2,2,2,1,10:13:43
1657210099426,12,2,3,2,2,10:13:44
1657210099426,8,1,3,2,3,10:13:46
1657210099426,7,1,2,1,3,10:13:49
1657210099426,3,0,2,1,2,10:13:51
1657210099426,5,1,1,0,1,10:13:54
1657210099426,6,0,1,0,2,10:13:52
1657210099426,3,1,2,1,1,10:13:57
1657210099426,6,0,2,1,2,10:13:59
1657210099426,5,0,1,0,2,10:14:02
1657210099426,3,1,1,0,1,10:14:12
1657210099426,2,1,0,1,1,10:14:15
1657210099426,10,2,0,1,0,10:14:30
1657210099426,11,2,1,2,0,10:14:35
1657210099426,12,2,2,2,1,10:14:37
