user_id,PointID,event_type,eventTimeStamp,org_axis,new_axis
6800865064849,,axis_x,2023-08-01 22:10:58.474000,,Monthly Balance
6800865064849,,axis_y,2023-08-01 22:11:14.804000,,Num of Loan
6800865064849,30,hover,2023-08-01 22:11:17.278000,,
6800865064849,,help,2023-08-01 22:11:56.944000,,
6800865064849,,help,2023-08-01 22:12:06.710000,,
6800865064849,,help,2023-08-01 22:12:06.766000,,
6800865064849,,help,2023-08-01 22:12:07.083000,,
6800865064849,,help,2023-08-01 22:12:07.121000,,
6800865064849,,help,2023-08-01 22:12:07.358000,,
6800865064849,,help,2023-08-01 22:12:07.397000,,
6800865064849,,help,2023-08-01 22:12:07.491000,,
6800865064849,,help,2023-08-01 22:12:07.939000,,
6800865064849,26,click,2023-08-01 22:12:09.152000,,
6800865064849,,zoom,2023-08-01 22:12:09.163000,,
6800865064849,26,hover,2023-08-01 22:12:09.579000,,
6800865064849,6,click,2023-08-01 22:12:10.920000,,
6800865064849,,zoom,2023-08-01 22:12:10.928000,,
6800865064849,6,hover,2023-08-01 22:12:11.163000,,
6800865064849,,help,2023-08-01 22:12:14.339000,,
6800865064849,,help,2023-08-01 22:12:14.378000,,
6800865064849,,help,2023-08-01 22:12:14.409000,,
6800865064849,,help,2023-08-01 22:12:14.519000,,
6800865064849,,help,2023-08-01 22:12:14.549000,,
6800865064849,,zoom,2023-08-01 22:12:14.922000,,
6800865064849,,zoom,2023-08-01 22:12:14.978000,,
6800865064849,,zoom,2023-08-01 22:12:14.990000,,
6800865064849,,zoom,2023-08-01 22:12:15.040000,,
6800865064849,,zoom,2023-08-01 22:12:15.072000,,
6800865064849,,zoom,2023-08-01 22:12:15.125000,,
6800865064849,,zoom,2023-08-01 22:12:15.148000,,
6800865064849,,zoom,2023-08-01 22:12:15.187000,,
6800865064849,,zoom,2023-08-01 22:12:15.764000,,
6800865064849,,zoom,2023-08-01 22:12:15.827000,,
6800865064849,,zoom,2023-08-01 22:12:16.122000,,
6800865064849,,zoom,2023-08-01 22:12:16.173000,,
6800865064849,,zoom,2023-08-01 22:12:16.192000,,
6800865064849,,zoom,2023-08-01 22:12:16.247000,,
6800865064849,,zoom,2023-08-01 22:12:16.274000,,
6800865064849,,zoom,2023-08-01 22:12:16.320000,,
6800865064849,,zoom,2023-08-01 22:12:16.342000,,
6800865064849,,zoom,2023-08-01 22:12:16.392000,,
6800865064849,,zoom,2023-08-01 22:12:16.835000,,
6800865064849,,zoom,2023-08-01 22:12:16.893000,,
6800865064849,,zoom,2023-08-01 22:12:16.902000,,
6800865064849,,zoom,2023-08-01 22:12:16.948000,,
6800865064849,,zoom,2023-08-01 22:12:16.999000,,
6800865064849,,zoom,2023-08-01 22:12:17.050000,,
6800865064849,,help,2023-08-01 22:12:17.834000,,
6800865064849,,help,2023-08-01 22:12:17.906000,,
6800865064849,,help,2023-08-01 22:12:22.973000,,
6800865064849,,help,2023-08-01 22:12:23.029000,,
6800865064849,,help,2023-08-01 22:12:23.067000,,
6800865064849,,help,2023-08-01 22:12:23.098000,,
6800865064849,,help,2023-08-01 22:12:23.136000,,
6800865064849,,help,2023-08-01 22:12:23.200000,,
6800865064849,,help,2023-08-01 22:12:23.232000,,
6800865064849,,help,2023-08-01 22:12:23.269000,,
6800865064849,6,hover,2023-08-01 22:12:24.147000,,
6800865064849,,zoom,2023-08-01 22:12:24.218000,,
6800865064849,,drag,2023-08-01 22:12:24.219000,,
